model,f1,precision,recall,tp,fp,fn,tn
XGBoost (seuil=0.939),0.14844109256659357,0.18391066545123064,0.12444101773323053,807,3581,5678,727002
XGBoost (seuil=0.939),0.14844109256659357,0.18391066545123064,0.12444101773323053,807,3581,5678,727002
XGBoost + SMOTE,0.13042695009908126,0.1568117825427767,0.11164225134926754,724,3893,5761,726690
SMOTE + LogReg,0.09405940594059406,0.15568222301389384,0.06738627602158828,437,2370,6048,728213
UnderSampling + LogReg,0.0669709037002587,0.0369698817413071,0.35528141865844254,2304,60017,4181,670566
LogReg + class_weight,0.03862409979687725,0.0199765481161558,0.5805705474171164,3765,184706,2720,545877
RandomForest + class_weight,0.03618599447431239,0.018608307640956723,0.6533538936006168,4237,223457,2248,507126
BalancedRandomForest,0.035007646344731906,0.017962957719703434,0.6848111025443331,4441,242790,2044,487793
XGBoost + scale_pos_weight,0.03469039896267396,0.017789072426937738,0.6951426368542791,4508,248906,1977,481677
XGBoost + scale_pos_weight,0.03469039896267396,0.017789072426937738,0.6951426368542791,4508,248906,1977,481677
